region, century, deathcount
Samoa, 20, 3,
Burkina Faso, 20, 3,
Togo, 20, 2,
Tajikistan, 20, 1,
Qatar, 20, 1,
Maldives, 20, 1,
Gambia, 20, 1,
American Samoa, 20, 2,
Andorra, 20, 1,
Cameroon, 20, 1,
Anguilla, 20, 1,
Botswana, 20, 3,
Somaliland, 20, 1,
Swaziland, 20, 2,
Kiribati, 20, 1,
Ireland, 21, 75,
Turkey, 21, 141,
Serbia, 21, 155,
Bosnia and Herzegovina, 21, 37,
Switzerland, 21, 175,
USA, 21, 2940,
Bangladesh, 21, 114,
Canada, 21, 756,
India, 21, 730,
Netherlands, 21, 292,
UK, 21, 1766,
Malta, 21, 17,
Singapore, 21, 63,
Indonesia, 21, 101,
American Samoa, 21, 5,
Sri Lanka, 21, 87,
South Africa, 21, 184,
Egypt, 21, 89,
Iran, 21, 138,
Pakistan, 21, 205,
France, 21, 849,
Morocco, 21, 38,
Italy, 21, 639,
Zimbabwe, 21, 35,
Mexico, 21, 380,
Spain, 21, 382,
Nigeria, 21, 66,
Angola, 21, 7,
Argentina, 21, 239,
Portugal, 21, 96,
Croatia, 21, 163,
Bolivia, 21, 17,
Philippines, 21, 214,
Armenia, 21, 37,
Paraguay, 21, 21,
Azerbaijan, 21, 50,
Albania, 21, 40,
Russia, 21, 670,
Poland, 21, 245,
Bulgaria, 21, 85,
Ukraine, 21, 119,
Belarus, 21, 16,
Romania, 21, 131,
Sweden, 21, 259,
Thailand, 21, 68,
Cyprus, 21, 14,
Hungary, 21, 200,
Luxembourg, 21, 15,
Austria, 21, 165,
Germany, 21, 845,
Greece, 21, 132,
Kyrgyzstan, 21, 6,
Moldova, 21, 15,
Kazakhstan, 21, 15,
Slovenia, 21, 73,
Czech Republic, 21, 146,
Australia, 21, 424,
Solomon Islands, 21, 10,
New Zealand, 21, 206,
Belgium, 21, 195,
Rwanda, 21, 4,
South Korea, 21, 71,
Cameroon, 21, 16,
Colombia, 21, 83,
Japan, 21, 265,
Belize, 21, 8,
Dominican Republic, 21, 38,
Guam, 21, 9,
Kenya, 21, 60,
Guatemala, 21, 22,
Mauritius, 21, 7,
Brazil, 21, 267,
Sierra Leone, 21, 12,
Finland, 21, 135,
Afghanistan, 21, 69,
Norway, 21, 138,
Denmark, 21, 100,
Palau, 21, 1,
Vietnam, 21, 22,
Somalia, 21, 31,
Scotland, 21, 29,
Venezuela, 21, 96,
Chile, 21, 60,
Guinea-Bissau, 21, 4,
Guyana, 21, 7,
Syria, 21, 54,
Seychelles, 21, 1,
Lebanon, 21, 43,
Haiti, 21, 25,
Libya, 21, 28,
Puerto Rico, 21, 28,
Peru, 21, 39,
Ecuador, 21, 21,
Algeria, 21, 32,
Democratic Republic of the Congo, 21, 13,
Isle of Man, 21, 16,
Uruguay, 21, 45,
Cuba, 21, 56,
Botswana, 21, 4,
Montenegro, 21, 3,
Uzbekistan, 21, 10,
Ethiopia, 21, 10,
Ghana, 21, 34,
El Salvador, 21, 20,
Costa Rica, 21, 22,
Republic of Congo, 21, 2,
French Polynesia, 21, 3,
Nicaragua, 21, 9,
Vatican City, 21, 3,
Lithuania, 21, 20,
Kosovo, 21, 8,
Saudi Arabia, 21, 40,
Jordan, 21, 27,
Latvia, 21, 22,
Nepal, 21, 28,
Jersey, 21, 4,
Burkina Faso, 21, 4,
Senegal, 21, 12,
Montserrat, 21, 6,
Yemen, 21, 17,
United Arab Emirates, 21, 14,
Cook Islands, 21, 2,
Iraq, 21, 78,
Papua New Guinea, 21, 7,
Malaysia, 21, 73,
Nagorno-Karabakh Republic, 21, 1,
Estonia, 21, 30,
Honduras, 21, 27,
Panama, 21, 12,
Bermuda, 21, 8,
Faroe Islands, 21, 5,
Barbados, 21, 11,
Myanmar, 21, 37,
Palestine, 21, 28,
Sudan, 21, 13,
Tunisia, 21, 26,
Mali, 21, 10,
Niger, 21, 2,
Bahrain, 21, 13,
Kuwait, 21, 9,
Tajikistan, 21, 6,
Central African Republic, 21, 3,
Eritrea, 21, 3,
Fiji, 21, 20,
Tonga, 21, 2,
China, 21, 155,
Iceland, 21, 8,
Gibraltar, 21, 9,
